Section,Item,Low Price,High Price
Wedding Party Flowers,"DIY Bridal Bouquet",105,170
Wedding Party Flowers,"DIY Bridesmaid Bouquet",40,55
Wedding Party Flowers,"DIY Floral Hoop",35,45
Wedding Party Flowers,"DIY Boutonniere(s)",5,5
Wedding Party Flowers,"DIY Floral Pocket Square",5,5
Wedding Party Flowers,"DIY Corsage(s)",5,10
Wedding Party Flowers,"DIY Bridal Floral Crown",45,55
Wedding Party Flowers,"DIY Flower Girl Crown",15,20
Ceremony Flowers,"DIY Single Arrangement Arbor",150,170
Ceremony Flowers,"DIY Double Arrangement Arbor",225,270
Ceremony Flowers,"2 Corner Arbor Arrangements",280,310
Ceremony Flowers,"2 Side Arbor Arrangements",150,170
Ceremony Flowers,"Vase-less Statement Arrangement",170,195
Ceremony Flowers,"Large Ceremony Urn",110,140
Ceremony Flowers,"Chair/Pew Floral Grouping",30,50
Ceremony Flowers,"Aisle Statement — Small",65,85
Ceremony Flowers,"Aisle Statement — Medium",110,140
Ceremony Flowers,"Aisle Statement — Large",170,195
Ceremony Flowers,"DIY Flower Pillar",390,560
Ceremony Flowers,"Signage Flowers",40,85
Reception Flowers,"Bud Vase Trio (round table)",15,30
Reception Flowers,"Bud Vases — 6 (rectangle table)",40,55
Reception Flowers,"A La Carte Bud Vases",5,10
Reception Flowers,"Hand-Placed Greenery (rectangle)",20,40
Reception Flowers,"Hand-Placed Greenery (round)",10,20
Reception Flowers,"Small Centerpiece",40,50
Reception Flowers,"Medium Centerpiece",60,75
Reception Flowers,"Large Centerpiece",85,110
Reception Flowers,"Vase-less Centerpiece",60,75
Reception Flowers,"Compote Centerpiece",75,85
Reception Flowers,"Tall Centerpiece",140,170
Reception Flowers,"Floral Table Runner",110,140
Reception Flowers,"Short Rectangle Box",45,55
Reception Flowers,"Sweetheart — Small Single",60,75
Reception Flowers,"Sweetheart — Medium Double",110,140
Reception Flowers,"Sweetheart — Large Double",95,140
Reception Flowers,"Sweetheart — Full Table",280,335
Reception Flowers,"Sweetheart — Greenery Only",55,55
Reception Flowers,"Pre-Made Garland (8ft)",180,180
Reception Flowers,"Hand-Placed Greenery (8ft)",30,30
